Instance Type,c5d.4xlarge($),c5.9xlarge($),c5.4xlarge($),i3.xlarge($),c5.12xlarge($),c5.2xlarge($),c5.xlarge($),m5.xlarge($),r5.4xlarge($),c5n.4xlarge($),m5d.4xlarge($),m5n.4xlarge($),c5a.4xlarge($),r5d.4xlarge($),m5.2xlarge($),m5.large($),m5.4xlarge($),m5dn.4xlarge($),t3.medium($),r3.4xlarge($),r5.2xlarge($),t3.xlarge($),m3.xlarge($),c4.large($),c5a.xlarge($),c5n.2xlarge($),t3.small($),m5n.2xlarge($),i3.large($),m3.medium($),c5.large($),t3a.medium($),c5d.2xlarge($),t3.large($),m4.xlarge($),r5.xlarge($),m5d.2xlarge($),m5dn.2xlarge($),r5d.xlarge($),r5dn.xlarge($),r5ad.xlarge($),t2.small($),t2.micro($),t3.nano($),r5a.xlarge($),t3a.small($),c4.2xlarge($),i3en.xlarge($),r4.xlarge($),r6g.2xlarge($),Total cost ($),c5d.4xlarge(Hrs),c5.9xlarge(Hrs),c5.4xlarge(Hrs),i3.xlarge(Hrs),c5.12xlarge(Hrs),c5.2xlarge(Hrs),c5.xlarge(Hrs),m5.xlarge(Hrs),r5.4xlarge(Hrs),c5n.4xlarge(Hrs),m5d.4xlarge(Hrs),m5n.4xlarge(Hrs),c5a.4xlarge(Hrs),r5d.4xlarge(Hrs),m5.2xlarge(Hrs),m5.large(Hrs),m5.4xlarge(Hrs),m5dn.4xlarge(Hrs),t3.medium(Hrs),r3.4xlarge(Hrs),r5.2xlarge(Hrs),t3.xlarge(Hrs),m3.xlarge(Hrs),c4.large(Hrs),c5a.xlarge(Hrs),c5n.2xlarge(Hrs),t3.small(Hrs),m5n.2xlarge(Hrs),i3.large(Hrs),m3.medium(Hrs),c5.large(Hrs),t3a.medium(Hrs),c5d.2xlarge(Hrs),t3.large(Hrs),m4.xlarge(Hrs),r5.xlarge(Hrs),m5d.2xlarge(Hrs),m5dn.2xlarge(Hrs),r5d.xlarge(Hrs),r5dn.xlarge(Hrs),r5ad.xlarge(Hrs),t2.small(Hrs),t2.micro(Hrs),t3.nano(Hrs),r5a.xlarge(Hrs),t3a.small(Hrs),c4.2xlarge(Hrs),i3en.xlarge(Hrs),r4.xlarge(Hrs),r6g.2xlarge(Hrs),Total usage (Hrs)
Instance Type Total,36350.2603570022,30614.5202426906,24316.8331034817,9326.691943219801,8104.1107502527,4855.8905596833,4136.5406810251,2770.7789043742,1725.7048499974999,1587.3778770002,1572.5797419984,1305.8370539994,1250.8661040004,1233.6222369998,1128.8064806767,1125.0435701273,936.1562239995,874.9240509973,759.6965529723001,580.4618090012,297.1334089999,291.6871495004,286.44,177.460359804,144.11045818399998,137.966512,106.17278109600001,84.588503,83.5433819862,71.42399999999999,61.739,51.9171376346,50.138778,39.726104538,32.4023970003,28.967244999900004,28.520771000099998,27.8938040001,24.303523,17.100862,12.017345,11.2837706464,10.7312,9.079418568400001,6.642004999999999,5.597889,0.368046,0.0,-0.000000000000007105427357601002,-0.000000000000021316282072803006,136655.6589444579,39350.279724,16768.742489,30460.513066,64835,3723.049446,11814.604438,24126.475004,15049.279999,5384.991932,5246.1327790000005,4143.1363870000005,3480.223602,3379.313599,3102.154721,2979.103056,12648,3048.723324,2523.009998,28763.399448,2009.227844,2005.909442,2789.594722,744,1408.415554,762.377776,936.199166,7654.480278,507.32472099999995,1488,744,744,2232,376.348333,743,372.172772,1849.565278,151.71833,170.757775,305.06638699999996,233.618332,164.171389,744.156388,1488,2098.208613,90.737777,726.944445,2.859722,10416,2721.085836,4464,331970.073892
2022-01-01,36350.2603570022,30614.5202426906,24316.8331034817,9326.691943219801,8104.1107502527,4855.8905596833,4136.5406810251,2770.7789043742,1725.7048499974999,1587.3778770002,1572.5797419984,1305.8370539994,1250.8661040004,1233.6222369998,1128.8064806767,1125.0435701273,936.1562239995,874.9240509973,759.6965529723001,580.4618090012,297.1334089999,291.6871495004,286.44,177.460359804,144.11045818399998,137.966512,106.17278109600001,84.588503,83.5433819862,71.42399999999999,61.739,51.9171376346,50.138778,39.726104538,32.4023970003,28.967244999900004,28.520771000099998,27.8938040001,24.303523,17.100862,12.017345,11.2837706464,10.7312,9.079418568400001,6.642004999999999,5.597889,0.368046,0.0,-0.000000000000007105427357601002,-0.000000000000021316282072803006,136655.6589444579,39350.279724,16768.742489,30460.513066,64835,3723.049446,11814.604438,24126.475004,15049.279999,5384.991932,5246.1327790000005,4143.1363870000005,3480.223602,3379.313599,3102.154721,2979.103056,12648,3048.723324,2523.009998,28763.399448,2009.227844,2005.909442,2789.594722,744,1408.415554,762.377776,936.199166,7654.480278,507.32472099999995,1488,744,744,2232,376.348333,743,372.172772,1849.565278,151.71833,170.757775,305.06638699999996,233.618332,164.171389,744.156388,1488,2098.208613,90.737777,726.944445,2.859722,10416,2721.085836,4464,331970.073892
